produto,url,fonte_coluna,preco,preco_num,fornecedor,avaliacao,avaliacoes_qtd,frete_valor,frete_prazo,frete_metodo,data_coleta,duracao_s,status,erro,preco_debug,preco_fontes
Smartphone Motorola Edge 60 Pro 512GB Cinza,https://www.kabum.com.br/produto/881535/smartphone-motorola-edge-60-pro-5g-cinza-512gb-ram-24gb-12gb-ram-12gb-ram-boost-camera-50mp-e-tela-de-6-7-,LINK KABUM,"R$ 3.099,00",3099.0,KaBuM!,"3,3 de 5",,"R$ 0,00",,,2025-11-01 19:23:25,12.47,ok,,"R$ 3.099,00 | 3099.0 | score=5 | jsonld; R$ 1,88 | 1.88 | score=3 | context:por/avista; R$ 3,35 | 3.35 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
"Smartphone Samsung Galaxy S24 Ultra 6,8"" Galaxy AI 256GB Titânio",https://www.kabum.com.br/produto/703054/samsung-galaxy-s25-ultra-5g-256gb-galaxy-ai-titanio-preto-6-9-12gb-ram-cam-quadrupla-200-50-10-50mp-bateria-5000mah-dual-chip,LINK KABUM,"R$ 9.899,10",9899.1,KaBuM!,5,1.0,"R$ 0,00",,,2025-11-01 19:23:34,7.71,ok,,"R$ 9.899,10 | 9899.1 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 0,54 | 0.54 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
"Smartphone Samsung Galaxy S24 Ultra 6,8"" Galaxy AI 256GB Titânio",https://www.magazineluiza.com.br/smartphone-samsung-galaxy-s24-ultra-68-galaxy-ai-256gb-titanio-preto-5g-12gb-ram-cam-quadrupla-200mp-selfie-12mp-bateria-5000mah-dual-chip/p/238093700/te/s24u/?ads=patrocinado&seller_id=magazineluiza,LINK MAGALU,"R$ 4.799,00",4799.0,Magalu,"4,86 de 5",1367.0,,,,2025-11-01 19:23:38,2.36,ok,,"R$ 4.799,00 | 4799.0 | score=5 | jsonld; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista",jsonld>dom>regex
Samsung Galaxy A54 5G,https://www.kabum.com.br/produto/455969/smartphone-samsung-galaxy-a54-256gb-ram-8gb-5g-camera-tripla-50mp-selfie-32mp-tela-6-4-polegadas-preto,LINK KABUM,"R$ 3.199,99",3199.99,KaBuM!,"3,21 de 5",,"R$ 0,00",,,2025-11-01 19:23:46,6.65,ok,,"R$ 3.199,99 | 3199.99 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 0,54 | 0.54 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Samsung Galaxy A54 5G,https://www.magazineluiza.com.br/usado-samsung-galaxy-a54-5g-256gb-preto-excelente-trocafone/p/eejb95heb0/te/ga54/?seller_id=trocafone,LINK MAGALU,"R$ 43,51",43.51,Magalu,27,31.0,,,,2025-11-01 19:23:50,3.08,ok,,"R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
Nintendo Switch OLED.,https://www.kabum.com.br/produto/651149/console-nintendo-switch-oled-branco-mario-kart-8-deluxe-3-meses-do-nintendo-switch-online,LINK KABUM,"R$ 2.370,57",2370.57,KaBuM!,5,30.0,,,,2025-11-01 19:23:54,2.96,ok,,"R$ 2.370,57 | 2370.57 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 17,78 | 17.78 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Nintendo Switch OLED.,https://www.magazineluiza.com.br/console-nintendo-switch-oled-64gb-edicao-mario-kart-8-deluxe-com-3-meses-assinatura-nintendo-switch-online/p/bd1h0kdf66/ga/otga/?seller_id=esh0p,LINK MAGALU,"R$ 2.371,50",2371.5,Magalu,"4,87 de 5",82.0,,,,2025-11-01 19:23:58,2.65,ok,,"R$ 2.371,50 | 2371.5 | score=5 | jsonld; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
Nothing Phone 2,https://www.kabum.com.br/produto/905233/smartphone-nothing-phone-2-256gb-12gb-ram-tela-6-7-oled-120hz-camera-50mp-bateria-4700mah-preto,LINK KABUM,"R$ 4.403,79",4403.79,KaBuM!,"123,7 de 5",,,,,2025-11-01 19:24:02,3.17,ok,,"R$ 4.403,79 | 4403.79 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
Notebook Dell Inspiron 15,https://www.kabum.com.br/produto/508489/notebook-dell-inspiron-i15-i120k-m40p-15-6-full-hd-12-geracao-intel-core-i7-8gb-512gb-ssd-windows-11-preto,LINK KABUM,"R$ 3.935,04",3935.04,KaBuM!,"799,0 de 5",,,,,2025-11-01 19:24:07,2.89,ok,,"R$ 3.935,04 | 3935.04 | score=5 | jsonld; R$ 0,10 | 0.1 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista; R$ 1,69 | 1.69 | score=1 | context:por/avista",jsonld>dom>regex
Notebook Dell Inspiron 15,https://www.magazineluiza.com.br/notebook-dell-inspiron-15-intel-core-i7-16gb-ram-1tb-ssd-156-full-hd-windows-11-i15-i1300-a80p/p/240267700/in/nodl/?seller_id=magazineluiza,LINK MAGALU,"R$ 4.679,10",4679.1,Magalu,5,14.0,,,,2025-11-01 19:24:11,2.55,ok,,"R$ 4.679,10 | 4679.1 | score=5 | jsonld; R$ 43,51 | 43.51 | score=3 | context:por/avista; R$ 59,13 | 59.13 | score=3 | context:por/avista; R$ 4.133,20 | 4133.2 | score=3 | context:por/avista",jsonld>dom>regex
samsung galaxy s25 plus,https://www.kabum.com.br/produto/729835/celular-samsung-galaxy-s25-5g-256gb-12gb-ram-camera-tripla-de-50-12-10-tela-grande-de-6-7-prata,LINK KABUM,"R$ 4.799,00",4799.0,KaBuM!,"3,21 de 5",,,,,2025-11-01 19:24:15,3.52,ok,,"R$ 4.799,00 | 4799.0 | score=5 | jsonld; R$ 0,11 | 0.11 | score=3 | context:por/avista; R$ 0,20 | 0.2 | score=3 | context:por/avista; R$ 0,57 | 0.57 | score=3 | context:por/avista; R$ 44,44 | 44.44 | score=3 | context:por/avista; R$ 255,25 | 255.25 | score=3 | context:por/avista",jsonld>dom>regex
